id,state,disease,count,percentage,SI_index
1,Alabama,cancer,14619,25.23,-28.2902667761
1,Alabama,depression,10050,17.35,-29.1145930349
1,Alabama,anxiety,6772,11.69,-22.2720584761
1,Alabama,headache,1874,3.23,-16.1994557097
1,Alabama,flu,1832,3.16,-6.21139737991
1,Alabama,diabetes,1774,3.06,5.58959413754
1,Alabama,autism,1551,2.68,17.4394068343
1,Alabama,fever,1509,2.6,7.78994698476
1,Alabama,burns,1507,2.6,2.26194426012
1,Alabama,hiv,1289,2.22,-3.69602017067
1,Alabama,acne,1146,1.98,-9.74744328098
1,Alabama,obesity,803,1.39,-18.4202988792
1,Alabama,aids,751,1.3,5.08633821571
1,Alabama,disabilities,743,1.28,13.5861641992
1,Alabama,breast cancer,696,1.2,-11.8890948276
1,Alabama,scars,532,0.92,4.61398496241
1,Alabama,prostate cancer,499,0.86,-10.2323046092
1,Alabama,arthritis,496,0.86,8.43058467742
1,Alabama,brain cancer,423,0.73,-15.125106383
1,Alabama,back pain,333,0.57,-34.0315915916
1,Alabama,leukemia,322,0.56,-2.87835403726
1,Alabama,itching,316,0.55,7.45778481013
1,Alabama,asthma,313,0.54,-9.12517571885
1,Alabama,pneumonia,290,0.5,-8.29320689655
1,Alabama,snoring,288,0.5,8.63159722222
1,Alabama,lung cancer,284,0.49,-45.2094718309
1,Alabama,epilepsy,275,0.47,13.6064363636
1,Alabama,allergy,269,0.46,-8.73022304832
1,Alabama,panic attack,261,0.45,-53.9937164751
1,Alabama,heartburn,236,0.41,-8.1668220339
1,Alabama,fracture,234,0.4,-4.1047008547
1,Alabama,diarrhea,202,0.35,12.5462871287
1,Alabama,hypertension,186,0.32,1.67935483871
1,Alabama,parkinson's disease,181,0.31,2.6435359116
1,Alabama,phobia,174,0.3,-25.6182183908
1,Alabama,ovarian cancer,173,0.3,-43.5565895953
1,Alabama,down syndrome,169,0.29,0.199644970409
1,Alabama,cholesterol,167,0.29,-15.1468862275
1,Alabama,brain tumor,162,0.28,-25.576728395
1,Alabama,dyslexia,160,0.28,15.673625
1,Alabama,schizophrenia,157,0.27,-5.6129299363
1,Alabama,eating disorders,145,0.25,-19.8517931034
1,Alabama,hepatitis,137,0.24,-8.71562043796
1,Alabama,endometriosis,122,0.21,6.4068852459
1,Alabama,menopause,116,0.2,10.5422413793
1,Alabama,heart failure,115,0.2,-36.4694782609
1,Alabama,bipolar disorder,110,0.19,-34.1327272727
1,Alabama,memory loss,110,0.19,-22.0744545454
1,Alabama,fibromyalgia,107,0.18,-7.23504672897
1,Alabama,alopecia,103,0.18,12.4190291262
1,Alabama,miscarriage,103,0.18,11.9218446602
1,Alabama,infertility,95,0.16,6.638
1,Alabama,tuberculosis,88,0.15,6.40909090909
1,Alabama,gout,85,0.15,12.0707058824
1,Alabama,personality disorder,84,0.14,-28.4285714286
1,Alabama,gonorrhea,78,0.13,26.8706410257
1,Alabama,vertigo,77,0.13,17.2879220779
1,Alabama,malaria,76,0.13,-0.788684210523
